Sequences producing,IS Family,Group,Origin,Score,E
ISPpu7,IS21,-,Pseudomonas putida,125,5.00E-25
IS1382,IS30,-,Pseudomonas putida,70,2.00E-08
ISPpu3,IS630,-,Pseudomonas putida,68,1.00E-07
ISPpu17,IS30,,Pseudomonas putida,60,2.00E-05
ISPre4,IS21,,Pseudomonas resinovorans,58,9.00E-05
ISPsp8,IS30,,Pseudomonas sp.,101,7.00E-18
ISPsp7,IS30,,Pseudomonas sp.,101,7.00E-18
ISPsp4,IS30,,Pseudomonas sp.,64,2.00E-06
ISPst1,IS30,-,Pseudomonas stutzeri,70,2.00E-08
ISPst10,IS30,,Pseudomonas stutzeri,54,0.001
ISPsy14,IS21,,Pseudomonas syringae,56,4.00E-04
ISPsy1,IS630,-,Pseudomonas syringae,42,5.6
IS1086,IS30,-,Ralstonia metallidurans,86,4.00E-13
ISRso5,IS630,-,Ralstonia solanacearum,72,6.00E-09
ISRle11,IS1182,,Rhizobium leguminosarum,42,5.6
IS1676,IS1380,-,Rhodococcus erythropolis,42,5.6
ISRjo2,IS630,,Rhodococcus jostii,44,1.4
ISRjo3,ISNCY,ISDol1,Rhodococcus jostii,42,5.6
ISRhosp1,IS3,IS3,Rhodococcus sp.,42,5.6
ISRce1,ISAs1,,Rhodospirillum centenum,44,1.4
ISRce2,IS1182,,Rhodospirillum centenum,42,5.6
ISRhru1,IS1595,ISSod11,Rhodospirillum rubrum,42,5.6
ISRfsp1,IS66,ISBst12,Roseiflexus sp.,46,0.36
ISRssp11,IS5,,Roseovarius sp.,44,1.4
ISRssp8,IS1380,,Roseovarius sp.,42,5.6
ISSer1,IS110,,Saccharopolyspora erythraea,44,1.4
ISSst2,IS1595,ISNha5,Sagittula stellata,42,5.6
ISStr1,IS1380,,Salinispora tropica,50,0.023
ISSpu5,IS21,,Shewanella putrefaciens,460,e-126
ISShes10,IS30,,Shewanella sp.,64,2.00E-06
ISShes11,Tn3,,Shewanella sp.,44,1.4
ISShes12,IS1634,,Shewanella sp.,44,1.4
ISSlgl1,IS256,IS1249,Slackia heliotrinireducens,42,5.6
ISSce1,IS1,ISMhu11,Sorangium cellulosum,44,1.4
ISShsp2,IS1182,,Sphingomonas sp.,42,5.6
ISStma17,IS3,IS51,Stenotrophomonas maltophilia,42,5.6
ISStma11,ISL3,,Stenotrophomonas maltophilia,42,5.6
ISStac1,IS110,IS1111,Streptomyces aculeolatus,42,5.6
ISSav5,IS481,,Streptomyces avermitilis,66,4.00E-07
ISSav7,IS481,,Streptomyces avermitilis,44,1.4
ISSav4,IS701,,Streptomyces avermitilis,42,5.6
ISScl1,IS5,IS1031,Streptomyces clavuligerus,42,5.6
IS116,IS110,-,Streptomyces clavuligerus,42,5.6
IS466,ISL3,-,Streptomyces coelicolor,48,0.091
ISSco2,IS481,,Streptomyces coelicolor,46,0.36
IS469,ISL3,-,Streptomyces coelicolor,44,1.4
IS110,IS110,-,Streptomyces coelicolor,44,1.4
IS1650,IS5,IS427,Streptomyces coelicolor,42,5.6
IS1648,IS5,IS427,Streptomyces coelicolor,42,5.6
ISSgr1,IS110,IS1111,Streptomyces griseus,44,1.4
IS1372,IS3,IS51,Streptomyces lividans,42,5.6
ISSri1,ISKra4,ISKra4,Streptomyces rimosus,42,5.6
ISStsp7,IS5,ISL2,Streptomyces sp,42,5.6
ISStsp3,IS1380,,Streptomyces sp.,44,1.4
ISStu2,ISAzo13,,Streptomyces turgidiscabies,44,1.4
ISStu1,IS5,ISL2,Streptomyces turgidiscabies,42,5.6
ISStro1,IS5,IS427,Streptosporangium roseum,42,5.6
ISTesp2,ISL3,,Terrabacter sp.,202,3.00E-48
ISTesp3,IS3,IS51,Terrabacter sp.,52,0.006
IST3091,IS30,-,Thiobacillus ferrooxidans,44,1.4
ISThsp11,IS3,IS3,Thiomonas sp.,48,0.091
ISThsp6,IS5,IS427,Thiomonas sp.,44,1.4
ISThsp10,IS21,,Thiomonas sp.,42,5.6
ISThsp9,Tn3,,Thiomonas sp.,42,5.6
ISThsp8,IS1634,,Thiomonas sp.,42,5.6
ISThsp3,IS66,,Thiomonas sp.,42,5.6
ISUnCu3,IS21,,Uncultured bacterium,125,5.00E-25
ISVei2,IS481,,Verminephrobacter eiseniae,50,0.023
ISVei3,IS481,,Verminephrobacter eiseniae,50,0.023
ISVei5,IS5,IS5,Verminephrobacter eiseniae,42,5.6
ISVsp4,IS66,,Verrucomicrobium spinosum,42,5.6
ISXac2,IS3,IS407,Xanthomonas axonopodis,44,1.4
IS1404,IS3,IS407,Xanthomonas campestris,42,5.6
IS1403,IS3,IS407,Xanthomonas campestris,42,5.6
IS1112a,IS30,-,Xanthomonas oryzae,50,0.023
IS1112b,IS30,-,Xanthomonas oryzae,48,0.091
IS1112,IS30,-,Xanthomonas oryzae,48,0.091
TnXo19,Tn3,,Xanthomonas oryzae,42,5.6
ISXoo14,IS5,,Xanthomonas oryzae,42,5.6
